"Date","Time","Type","Media_URLs","Caption","First_Comment"
"2026-06-12","19:00","reel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/_reels/scroll-restaurant.mp4","Deine Website sieht aus wie 2015 — und jeder Gast der sie aufmacht, entscheidet in 3 Sekunden ob er reserviert oder weiterschaut.

Ein Restaurant lebt von Atmosphäre. Die fängt online an — noch bevor jemand bei dir reinkommt. Mobile-First, schnell geladen, mit prominentem Reservierungslink und echten Fotos: das ist der Unterschied zwischen einer Website die informiert und einer die bucht.

Du weisst, dass dein Lokal mehr kann als deine Online-Präsenz zeigt.

Kommentier WEBCHECK — ich schau mir deine Website an und sag dir ehrlich was sie kostet. Für KMU in der Region Solothurn.

#webdesign #restaurant #gastronomie #kmuschweiz #solothurn #balsthal #reels #websitecheck #mobilefirst #schweizerbusiness","Kommentier WEBCHECK hier unten — ich check deine Restaurant-Website gratis und sag dir die 3 grössten Baustellen."
"2026-06-13","19:00","reel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/_reels/scroll-coach.mp4","Du bist Coach — dein Angebot ist Vertrauen. Aber was macht deine Website, wenn jemand zum ersten Mal draufschaut?

In 3 Sekunden entscheidet dein Besucher: ""Das ist jemand der mir helfen kann"" — oder weiter scrollen. Kein professionelles Profilbild. Kein klarer erster Satz. Kein einfacher Weg zum Erstgespräch.

Dein Können ist da. Dein Auftritt muss das zeigen.

Kommentier WEBCHECK — ich schau mir deine Website an und sag dir direkt, was den Unterschied macht. Für selbstständige Coaches und Berater in der Schweiz.

#webdesign #coach #coaching #kmuschweiz #solothurn #balsthal #reels #websitecheck #selbstständig #schweizerbusiness","Kommentier WEBCHECK — ich check deine Coaching-Website gratis und sag dir was Vertrauen aufbaut und was es zerstört."
"2026-06-14","19:00","reel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/_reels/scroll-handwerker.mp4","Dein Handwerk ist sauber. Deine Website leider nicht.

Wenn ein Hauseigentümer in Solothurn ""Elektriker"" oder ""Maler Balsthal"" googelt — wer taucht auf? Wer hat die schnellste Website? Wer hat ein echtes Kontaktformular? Wer hat Fotos von echter Arbeit?

Das sind keine Extras. Das ist der Unterschied zwischen Anfrage und kein Anruf.

Kommentier WEBCHECK — ich schau mir deine Handwerker-Website an und sag dir ehrlich was dich lokale Kunden kostet.

#handwerker #webdesign #kmuschweiz #solothurn #balsthal #reels #websitecheck #seo #elektriker #malerarbeit","Kommentier WEBCHECK — ich check deine Handwerker-Website gratis. Ladezeit, Mobile, Kontakt — ich sag dir was sofort besser werden kann."
"2026-06-15","19:00","post","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-11_tag04/_export/post-tag04-single.png","Deine Website hat 4 Löcher — und durch jedes verlierst du Kunden. Täglich.

Loch 1: Oben fehlt der klare Satz was du tust und für wen.
Loch 2: Auf dem Handy ist alles fummelig und langsam.
Loch 3: Die Seite lädt über 3 Sekunden — 40% gehen dann weg.
Loch 4: Der Kontakt-Button ist versteckt statt dominant.

Das ist kein Design-Problem. Das ist ein Kunden-Problem.

Die gute Nachricht: jedes dieser Löcher lässt sich in wenigen Tagen stopfen — meist ohne die ganze Website neu zu bauen.

Welches Loch hat deine Website? Kommentier WEBCHECK — ich schau mir deine Seite an und nenne dir den schnellsten Fix. Für KMU in Solothurn und Umgebung.

#webdesign #kmuschweiz #solothurn #balsthal #mobilefirst #conversion #websitecheck #ux","Kommentier WEBCHECK hier unten — ich schau mir deine Seite an und sag dir kostenlos welches Loch zuerst gestopft werden muss. Schnell, direkt, konkret."
"2026-06-16","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-12_tag05/_export/post-tag05-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-12_tag05/_export/post-tag05-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-12_tag05/_export/post-tag05-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-12_tag05/_export/post-tag05-carousel-slide04.png","Luxusmarken zahlen Millionen für ihr Design. Dieser eine Trick kostet dich nichts.

Reines Schwarz (#000000) und reines Weiss (#FFFFFF) wirken hart und billig. Warum? Das Auge kennt das aus Druck-Fehlern und billigen Vorlagen.

Warmes Off-Black (#0A0908) und Cremeweiss (#F0ECD8) — du änderst nur zwei Zahlenwerte, und dein gesamter Auftritt wirkt sofort teurer. Rolex macht das. Aesop macht das. Du kannst es auch.

Speicher dir diesen Post — du brauchst die Codes wenn du das nächste Mal etwas gestaltest.

Kommentier TIPP — ich schick dir meine 5 Luxus-Farbcodes als Bild zum Speichern. Gratis.

#designtipps #branding #farben #kmuschweiz #grafikdesign #balsthal #solothurn #colorpalette","Kommentier TIPP hier unten — ich schick dir die 5 Farbcodes als Bild direkt in die DMs. Speicher es, nutz es, und wenn du Fragen zu deinem Auftritt hast: einfach fragen."
"2026-06-17","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide05.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-13_tag06/_export/post-tag06-carousel-slide06.png","""Die günstige Website kostet doch nichts."" — Doch. Sie kostet die Kunden, die du nicht bekommst.

Ein Wix-Baukasten kostet CHF 15–49 pro Monat. Nach 2 Jahren: CHF 360–1'176 — und du besitzt nichts. Die Plattform gehört Wix, nicht dir.

Eine Custom-Website bei B.Studio: einmalig ab CHF 500. Du besitzt sie. Für immer.

Und schon 1 verlorener Auftrag pro Monat — ein Handwerker, ein Restaurantgast, ein Coach-Client — zahlt die ganze Investition.

Schick das einem KMU-Inhaber aus dem Kanton Solothurn der noch auf einem Baukasten sitzt.

Reicht für dich ein Baukasten? Kommentier WEBCHECK — ehrliche Antwort, auch wenn's ""reicht"".

#webdesign #kmuschweiz #solothurn #balsthal #wix #customwebsite #conversion #onlinemarketing","Kommentier WEBCHECK — Baukasten oder Custom? Ich schau mir deine Situation an und sag dir ehrlich was für dich Sinn macht. Auch wenn die Antwort Baukasten ist."
"2026-06-18","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-14_tag07/_export/post-tag07-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-14_tag07/_export/post-tag07-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-14_tag07/_export/post-tag07-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-14_tag07/_export/post-tag07-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-14_tag07/_export/post-tag07-carousel-slide05.png","Gleiche Firma. Gleiches Können. Gleiches Team. Nur der Auftritt ist neu.

Genau das ist der Punkt von Branding: du änderst nicht dein Geschäft. Du zeigst endlich, wie gut es wirklich ist — und genau so nehmen dich Kunden ab dem ersten Blick wahr.

Diesen Monat habe ich noch 2 Plätze frei. Für KMU in Balsthal, Solothurn und dem Mittelland die professionell wirken wollen — ohne Agenturpreise.

Willst du dein Vorher/Nachher? Kommentier VORHER — ich zeig dir Schritt für Schritt, wie so eine Verwandlung abläuft.

#vorhernachher #branding #rebrand #webdesign #kmuschweiz #balsthal #solothurn #transformation","Kommentier VORHER hier unten — ich zeig dir das ganze Vorher/Nachher im Detail direkt in den DMs. Nur 2 Plätze diesen Monat. ✦"
"2026-06-19","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-15_tag08/_export/post-tag08-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-15_tag08/_export/post-tag08-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-15_tag08/_export/post-tag08-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-15_tag08/_export/post-tag08-carousel-slide04.png","Weissraum ist kein Fehler — er ist das teuerste Design-Element das du kostenlos hast.

Die teuersten Marken der Welt (Rolex, Aesop, Vitra) haben eines gemeinsam: sie lassen Luft. Kein überladenes Layout. Keine drei Botschaften auf einmal. Nur das Wesentliche — und Stille drum herum.

Das kannst du auch. Fang heute an.

Welches Element auf deiner Website oder in deinem Logo braucht mehr Atem? Schreib's unten.

Kommentier TIPP und ich schicke dir die Kurz-Anleitung als Bild zum Speichern.

#designtipp #weissraum #logodesign #brandingschweiz #kmuschweiz #kleinunternehmen #solothurn #balsthal #grafikdesign #luxusdesign #brandidentity #webdesignschweiz #selbstständig #unternehmer #swissmade","Kommentier TIPP hier unten — ich schick dir die Weissraum-Anleitung als Bild zum Speichern. Direkt in deine DMs."
"2026-06-20","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide05.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-16_tag09/_export/post-tag09-carousel-slide06.png","""Aber mir gefällt es doch."" — Das ist kein Problem mit Geschmack. Das ist ein Problem mit Funktion.

Ein Logo muss auf jedem Hintergrund funktionieren. Klein und gross. In Farbe und Schwarz-Weiss. Es muss auch dann erkennbar sein, wenn jemand 3 Sekunden draufschaut.

Die meisten KMU-Logos in der Schweiz scheitern still — nicht weil sie hässlich sind, sondern weil niemand ihnen jemals erklärt hat, was ein Logo leisten muss.

Machst du einen dieser 4 Fehler?

Kommentier CHECK und ich schicke dir die 3 Dinge, die deine Marke gerade billig aussehen lassen.

#logodesign #branding #brandidentity #kmuschweiz #kleinunternehmen #solothurn #balsthal #grafikdesignschweiz #markenaufbau #logocheck #selbstständig #unternehmerSchweiz #designfehler #brandstrategy #swissdesign","Kommentier CHECK hier unten — ich schau mir dein Logo an und sag dir ehrlich was nicht stimmt. Gratis, kein Haken."
"2026-06-21","19:00","post","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-17_tag10/_export/post-tag10-single.png","Die 3-Sekunden-Regel. Jedes professionelle Design kennt sie.

Wenn jemand deine Website, dein Flyer oder dein Inserat sieht — hat er genau 3 Sekunden, bevor er entscheidet: interessant oder weiterblättern.

In diesen 3 Sekunden passiert nur eines: sein Auge sucht das grösste, kontrastreichste Element. Das ist deine erste Botschaft. Nicht dein Logo. Nicht deine Adresse.

Was sieht man bei dir zuerst?

Kommentier TIPP und ich schicke dir die Kurz-Anleitung als Bild zum Speichern.

#designregel #aufmerksamkeit #kmuschweiz #webdesign #branding #grafikdesign #solothurn #balsthal #smallbusiness #marketingtipp #selbstständig #uxdesign #logodesign #unternehmerSchweiz #contentstrategy","Kommentier TIPP — ich schick dir die 3-Sekunden-Regel als Bild zum Speichern. Direkt in deine DMs."
